"address";"value"
"dETXx5YfPjUJ6XJ2GQ4dyBXyq8fexX1rcG";"10026.50736921"
"dTjCnL2j5kmTdrxBuymSnuA2EsdzsookT3";"10026.38195561"
"dFUg5uGy3vkj79jVrJVU73Ybry73aLNYge";"10020.24292011"
"dKCaLq1NSb3xeyNvo6f3GE68vFpVF5LBFt";"10018.86620516"
"dYPL5FbPgSQ2fX6W2i1HmNET36QenrFpnt";"10018.52491414"
"dFMDSpuGKwrBixWcM5AXGHb2MdKxfSWauD";"10017.85440801"
"dQPjqe9BCDSmFPP2GoCgnUtzruPPBggS8T";"10012.52613116"
"dHjKZLeUz73n1CDFCgtsKzRH1KMU9WB8LN";"10010.90732696"
"dYhxGpkA2CyMQyWffYDWLqAub7K1LBeYnj";"10008.73287481"
"dZAYrmJaXxQDFYWqMH9Pp5RuBdqPzZRSaX";"10008.09434796"
"dJsimk2W2zCJw82iLtYSdgk6hF6ZGD3Amu";"10007.83029326"
"dLsAF8N7uFJQ5zwwGsqNu4YkdaCpvYh7FS";"10004.74126641"
"dN9CgGsDt4a3jL6Hre9966ppcx3KMgUSA7";"10001.57707551"
"dW4mnJLQZwFExTBFTBdGSNte71TfvqC8LX";"10000.27496301"
"dEB799gGhnG89b8bkcPUitgXiJWc7ggNCM";"10000.00000001"
"dQE5Hkgutynx5dWfnMWqEf2fBNtKWSBkBq";"10000.00000001"
"dMbc7KM7cDy487C9FrWwvyaquprTgtCWZ8";"10000.00000001"
"dPPSZYXgxtKYQerHkWYG8HX5dZZL83Mdbi";"10000.00000001"
"dca8P26LipgYymcz5dCQrV2dEHW5iwkyu6";"10000.00000001"
"dJsQ59h5yMnaCi1UadcpN1t8QP6UZrWTr8";"10000.00000001"
"dWtRnCkyVByogHgEtaEdjcZCyW3aGqLg7p";"10000.00000001"
"dQibaJe2kGLqsctNh1NyXczm7mEhYWzaeU";"10000.00000001"
"dNVU13mZVoSJnLcDcUR5CURCwt8TBhkTau";"9999.91335824"
"dShXC7uxwTFtfZa3YegHzKENMhzKzu86XF";"9918.70793694"
"dU3xhpK55oEasrqCgTXXQbY55rwmjpc4Zy";"9905.70909943"
"dP88MW4DxhtXa35hpXsLhjS4Mb9pWRtiyw";"9799.09605683"
"dNuDbQZjEFgmWfARhWqht6daFa1DLF64Uj";"9148.29811304"
"dKgABenG8k8o6ayvBWSyRdSpcixASY2gGx";"8947.6072406"
"dLL5eNzaZj7BKLtTfpwX9VGbfoWDdhR2FH";"8640.62046201"
"dS4LxrW7TqXbxM1L3nc82h2adHCSmk6xLM";"8148.95201614"
"dKsLMHbsRy3AciwnPvdZN26mxqQK7i7a8Y";"8122.56010442"
"dQQH8TbfWPVRSeLeH4xcxHABFZ8aZCZWLR";"8001.00000001"
"dSQonyFZJWK5pnimiYoc4kMfjogRmgqzR3";"7937.22700001"
"dJWcf89yMtzM8dtWbwjTmYHncWJPtaCPAR";"7217.92067553"
"dZiuwtQJaWJkn5xedwrdEfEK5fLndF5XTQ";"7045.08776006"
"dPdMsW4a2fayPKsv1NDr9BGo4AnKcGe3uf";"6984.99960626"
"dY9EkFPnDx3ehqWmTUirHW1VsS64CkgjnH";"6669.16630106"
"daoJDt2RCTAJ7QiKFiFg99Ex5AhysQBtMi";"6435.08072708"
"dZJ3aZJvEKLL8eoaqcJx3ANnicc6m1BLME";"6244.26057574"
"dJ7tHaK6avZ4MmXDX4FDwnyLXS3JnU7mnk";"6201.00000001"
"dN9mt5sdMhCTVBz3k93wNv2SHyumbKbGEz";"6153.50000001"
"dakNe1u9XsATQe3vgfEE2LJB8yUMPRN1zv";"6085.29146332"
"dMRuxGZoZXKyPAJL9ubqQARr4Zgmg2927U";"6020.00000001"
"dU2kp5WVpvAAfXDjyrS5JUZo5XFCLDhBj7";"5935.67656979"
"dFXAhYMq96mD7PAPfQSzc5rSriczAKWkJK";"5826.97000001"
"dV95MvByss2Adwv3DGx57Lph3LDMwdUqDt";"5579.1241545"
"dTVxCEnD9smdBCeWjDtLUmpAULySUHbSmc";"5454.22825023"
"dQk6bwE7VRUpCDP7gkuj6wRXgPMpBVfn3j";"5245.91700469"
"dRSoMAkgFf5k7iJN1DAR6FdqV5LVjCSvfM";"5229.70391795"
"dHtrs255g4cBpHUDgoAHW9xxfEVFkPtFE4";"4911.76423262"
"dYsgNkGNSJm943awBqvTkCTekJZYeA5ScY";"4844.00000001"
"dRuikc1x5dHx6EhiuhAtj1tKRjByuTcpcS";"4701.99890971"
"dQmC7qCmbdQdpehouLdAXRFp37sxWBrHMn";"4650.59686498"
"dXf4RRc6u4h7bXxHbaqR1Zm7Wz3xaVhvWd";"4630.91212791"
"dHp5dvEbZHnevESnzLhQvxK7FgbNXAqpRH";"4570.42897152"
"dUAQTFKchRyYw87WrmHEVAtheJTvEGEkFr";"4399.51875001"
"dQE4eXWQKQtDh3f7MNtD3wPZRcnBh5Swke";"4246.92636304"
"dGAEmMUFxHmCFAi7GyhkpN4r1qQAvhZj2H";"4132.32520101"
